origem,usuario,mensagem,data
BuzzMonitor,vitor.gomes,Qual foi a causa da indisponibilidade de ontem?,2025-01-14 20:42:11
BuzzMonitor,lucas.silva,"Comecei a usar rapido, processo muito bom.",2025-01-15 00:06:50
BuzzMonitor,juliana.teixeira,Seria bom ter mais opcoes de personalizacao.,2025-01-15 02:42:42
BuzzMonitor,mariana.lima,"A importacao esta levando horas, ficou impraticavel.",2025-01-15 12:19:42
BuzzMonitor,carla.lima,A integracao com o gateway de pagamento caiu.,2025-01-15 12:45:48
NPS,diego.rocha,Qual o tempo medio de resposta esperado?,2025-01-15 13:54:26
NPS,mario.souza,O tempo de resposta da API aumentou bastante.,2025-01-15 16:05:07
CSAT,leonardo.dias,"A tela de cadastro ficou redonda, sem bugs. Preciso de retorno urgente.",2025-01-16 03:50:49
BOT,juliana.barbosa,O atendente não entendeu o problema e encerrou o ticket.,2025-01-16 07:38:58
BuzzMonitor,ana.gomes,Parece que um usuario acessou dados que nao deveria.,2025-01-16 11:56:19
CSAT,isabela.rocha,Nao consegui importar meus dados iniciais.,2025-01-16 16:00:47
NPS,ana.teixeira,Tenho uma sugestao de melhoria para o produto.,2025-01-17 09:06:27
BOT,gustavo.correa,O filtro nao funciona e retorna resultados errados.,2025-01-17 09:38:21
CSAT,patricia.souza,Os dados do CRM estao vindo incompletos na integracao.,2025-01-17 13:45:54
CSAT,diego.oliveira,Existe cache para relatorios?,2025-01-17 14:30:44
CSAT,isabela.elias,Depois da ultima manutencao ficou bem mais estavel.,2025-01-18 00:57:39
NPS,juliana.dias,"A performance melhorou muito, ta voando.",2025-01-18 01:10:48
CSAT,ana.souza,O cancelamento foi cobrado mesmo depois de eu solicitar. Preciso de retorno urgente.,2025-01-18 06:50:55
BOT,juliana.ferreira,"Boa, o erro de sincronizacao sumiu.",2025-01-18 09:09:48
BuzzMonitor,beatriz.oliveira,O menu mudou e agora ficou pior de usar.,2025-01-18 19:43:02
BuzzMonitor,laura.elias,O sistema duplica registros ao importar.,2025-01-18 20:29:35
BOT,joao.dias,Depois da ultima manutencao ficou bem mais estavel.,2025-01-18 20:40:00
CSAT,thiago.almeida,A conciliacao bancaria ficou bem melhor nessa versao.,2025-01-19 02:00:35
BOT,carla.teixeira,Nao consigo atualizar meus dados de pagamento no sistema.,2025-01-19 03:03:18
NPS,isabela.nascimento,Parabens pelas melhorias de seguranca. Preciso de retorno urgente.,2025-01-19 13:03:25
CSAT,isabela.silva,"Muito bom ter 2FA, aumentou a seguranca.",2025-01-19 20:11:12
CSAT,juliana.dias,O botao de salvar nao responde na tela de cadastro.,2025-01-20 00:41:37
CSAT,leonardo.teixeira,"A API esta bem documentada, consegui integrar rapido.",2025-01-20 03:28:00
CSAT,diego.correa,O onboarding foi excelente e bem guiado.,2025-01-20 07:49:12
BOT,mario.mendes,O onboarding foi confuso e faltou treinamento. Ticket 92924.,2025-01-20 09:38:32
CSAT,leonardo.ribeiro,"Obrigado por corrigirem o bug da exportacao, agora funciona.",2025-01-20 18:29:00
BuzzMonitor,gustavo.pereira,A experiencia de uso evoluiu muito.,2025-01-20 18:34:29
NPS,vitor.barbosa,Vocês recomendam qual navegador?,2025-01-20 22:34:54
CSAT,carla.elias,A documentacao esta desatualizada.,2025-01-20 22:51:56
NPS,rafael.souza,A tela nao e intuitiva e acaba atrapalhando. Preciso de retorno urgente.,2025-01-21 02:41:32
NPS,laura.rocha,A correcao do filtro resolveu meu problema.,2025-01-21 06:26:18
NPS,leonardo.dias,Depois da ultima manutencao ficou bem mais estavel.,2025-01-21 15:16:47
CSAT,bruno.dias,"Produto excelente, atende bem nossas necessidades.",2025-01-21 17:43:38
BuzzMonitor,thiago.araujo,Onde encontro a opcao para personalizar colunas?,2025-01-21 18:59:30
BOT,rafael.mendes,A plataforma caiu agora e não consigo acessar.,2025-01-21 19:40:22
CSAT,gustavo.silva,"Obrigado por corrigirem o bug da exportacao, agora funciona.",2025-01-21 21:27:04
NPS,isabela.pereira,Estou recebendo erro 500 ao tentar salvar.,2025-01-22 00:27:56
BuzzMonitor,camila.almeida,O cancelamento foi cobrado mesmo depois de eu solicitar.,2025-01-22 00:30:32
BOT,beatriz.dias,A documentacao e bem completa.,2025-01-22 11:30:09
BuzzMonitor,joao.araujo,A integracao com o CRM funcionou sem dor de cabeca.,2025-01-22 18:24:05
CSAT,juliana.carvalho,Depois da ultima manutencao ficou bem mais estavel. Preciso de retorno urgente.,2025-01-22 19:01:44
BuzzMonitor,mario.ferreira,O botao de salvar não responde na tela de cadastro.,2025-01-23 01:52:51
NPS,rafael.correa,A experiencia poderia ser melhor em dispositivos moveis.,2025-01-23 02:15:13
CSAT,diego.barbosa,"Nao carrega a tela inicial, fica em loading infinito. Ticket 83023.",2025-01-23 23:16:57
CSAT,rafael.elias,A experiencia poderia ser melhor em dispositivos moveis.,2025-01-24 01:34:23
BuzzMonitor,isabela.almeida,Qual o passo a passo recomendado para comecar?,2025-01-24 05:14:54
CSAT,ana.lima,Preciso de auditoria e não encontro logs completos.,2025-01-24 14:49:01
CSAT,carla.souza,As mensagens de erro nao explicam o que fazer.,2025-01-24 16:24:34
BuzzMonitor,mariana.nascimento,"Boa, o erro de sincronizacao sumiu.",2025-01-24 19:02:37
CSAT,leonardo.souza,"Obrigada por resolverem a instabilidade, melhorou muito.",2025-01-24 20:55:34
BOT,ana.barbosa,Nao consegui importar meus dados iniciais.,2025-01-25 00:42:16
BuzzMonitor,joao.silva,"Faltam campos no cadastro, isso atrapalha. Ticket 26716.",2025-01-25 01:54:09
BuzzMonitor,ana.gomes,Como abro um chamado para suporte tecnico?,2025-01-25 02:11:16
BuzzMonitor,patricia.barbosa,Qual o status do incidente da manha?,2025-01-25 03:41:13
CSAT,gustavo.martins,A API esta retornando 401 mesmo com token valido.,2025-01-25 05:29:33
BuzzMonitor,gustavo.silva,O atendente nao entendeu o problema e encerrou o ticket. Preciso de retorno urgente.,2025-01-25 09:19:26
NPS,mariana.teixeira,"A performance melhorou muito, ta voando.",2025-01-25 12:18:00
BOT,vitor.dias,"A navegacao esta confusa, nao acho as configuracoes. Ticket 91048.",2025-01-25 13:25:01
NPS,mario.lima,O suporte demorou muito para responder meu chamado. Preciso de retorno urgente.,2025-01-25 16:24:13
CSAT,fernanda.araujo,Tem boas praticas para melhorar performance?,2025-01-26 03:32:16
BOT,beatriz.martins,O sistema duplica registros ao importar.,2025-01-26 08:35:37
NPS,ana.ribeiro,Preciso de um relatorio de cobranca do mes.,2025-01-26 10:30:23
BOT,joao.ferreira,"Gostei do layout, ficou facil achar as funcoes.",2025-01-26 15:22:47
NPS,joao.rocha,"O processo de pagamento ficou mais simples, ajudou muito.",2025-01-26 16:14:37
CSAT,bruno.carvalho,O suporte demorou muito para responder meu chamado.,2025-01-27 01:48:33
NPS,carla.silva,"A sincronizacao ficou consistente, obrigado. Ticket 37011.",2025-01-27 03:11:48
BuzzMonitor,diego.rocha,"Gostei do conector com o ERP, poupou tempo.",2025-01-27 03:24:30
CSAT,fernanda.correa,Acho que a comunicacao de mudancas poderia melhorar.,2025-01-27 03:51:59
BOT,diego.barbosa,Depois do patch nao ocorre mais duplicacao na importacao.,2025-01-27 11:45:51
BOT,mario.martins,Estou recebendo erro 500 ao tentar salvar.,2025-01-27 12:00:59
BuzzMonitor,carla.souza,"Gostei do controle de permissoes, bem completo.",2025-01-27 17:10:53
BOT,vitor.pereira,"A navegacao esta confusa, nao acho as configuracoes.",2025-01-27 22:50:26
BuzzMonitor,gustavo.ribeiro,Parabens pelas melhorias de seguranca.,2025-01-28 00:48:15
BOT,juliana.nascimento,"A sincronizacao ficou consistente, obrigado. Ticket 74440.",2025-01-28 04:18:24
CSAT,joao.souza,Tenho uma sugestao de melhoria para o produto.,2025-01-28 08:00:54
BuzzMonitor,juliana.pereira,"Boa, o erro de sincronizacao sumiu.",2025-01-28 09:24:09
CSAT,leonardo.araujo,"Muito bom ter 2FA, aumentou a seguranca.",2025-01-28 17:01:04
CSAT,gustavo.pereira,O onboarding foi confuso e faltou treinamento.,2025-01-29 02:41:10
CSAT,camila.gomes,O onboarding foi confuso e faltou treinamento.,2025-01-29 07:39:32
CSAT,mariana.almeida,"Obrigado por corrigirem o bug da exportacao, agora funciona.",2025-01-29 08:32:47
NPS,gustavo.carvalho,"Faltam campos no cadastro, isso atrapalha.",2025-01-29 08:41:04
CSAT,ana.pereira,Tem trilha de treinamento para novos usuarios? Ticket 81510.,2025-01-29 17:01:18
BOT,ana.elias,A integracao gera erro ao sincronizar e para no meio.,2025-01-30 01:47:40
BOT,isabela.elias,A experiencia poderia ser melhor em dispositivos moveis. Ticket 49883.,2025-01-30 03:26:37
CSAT,juliana.carvalho,A integracao gera erro ao sincronizar e para no meio.,2025-01-30 15:53:36
CSAT,joao.gomes,Existe cache para relatorios?,2025-01-30 17:20:42
BuzzMonitor,mariana.rocha,Estou recebendo erro 500 ao tentar salvar.,2025-01-30 20:57:32
CSAT,joao.gomes,"A performance melhorou muito, ta voando. Preciso de retorno urgente.",2025-01-30 21:12:03
BuzzMonitor,mario.nascimento,Hoje o sistema esta super rapido e sem quedas.,2025-01-31 03:08:50
CSAT,patricia.silva,"A equipe acompanhou a implantacao, foi tranquilo.",2025-01-31 06:24:37
BOT,vitor.carvalho,Nao consigo atualizar meus dados de pagamento no sistema. Ticket 72496.,2025-01-31 06:26:29
NPS,isabela.rocha,Ficou travando e desconectando toda hora.,2025-01-31 08:21:11
CSAT,mariana.gomes,A autenticacao em dois fatores nao funciona. Ticket 84883.,2025-01-31 12:41:04
BuzzMonitor,leonardo.souza,O atendimento foi rude e nao ajudou.,2025-01-31 20:30:08
CSAT,juliana.carvalho,"O sistema esta fora do ar desde cedo, precisamos de retorno.",2025-01-31 20:45:34
BuzzMonitor,patricia.correa,"Parabens, a nota fiscal saiu certinha e bem rapido. Preciso de retorno urgente.",2025-01-31 23:42:54
NPS,carla.barbosa,"Estou sem retorno ha dias, isso prejudica o trabalho.",2025-02-01 05:46:20
BuzzMonitor,diego.dias,A documentacao e bem completa. Preciso de retorno urgente.,2025-02-01 09:13:02
CSAT,bruno.lima,Os tutoriais nao cobrem o que eu preciso. Ticket 13718.,2025-02-01 13:03:06
BOT,juliana.ferreira,O tempo de resposta da API aumentou bastante.,2025-02-01 15:01:21
NPS,joao.lima,"Estou sem retorno ha dias, isso prejudica o trabalho.",2025-02-01 16:16:21
BuzzMonitor,patricia.elias,A integracao com o ERP nao esta sincronizando.,2025-02-01 16:37:04
BOT,diego.ferreira,Os webhooks estao super estaveis agora.,2025-02-01 19:25:17
CSAT,laura.mendes,"Parabens, a nota fiscal saiu certinha e bem rapido. Preciso de retorno urgente.",2025-02-01 19:41:59
BuzzMonitor,fernanda.ferreira,"A tela de cadastro ficou redonda, sem bugs.",2025-02-01 21:10:46
CSAT,rafael.martins,Os logs de auditoria ajudaram bastante.,2025-02-02 06:29:10
NPS,leonardo.teixeira,"A importacao esta levando horas, ficou impraticavel. Preciso de retorno urgente.",2025-02-02 08:06:53
CSAT,patricia.mendes,Tem trilha de treinamento para novos usuarios?,2025-02-02 11:31:49
CSAT,juliana.oliveira,Preciso de auditoria e nao encontro logs completos.,2025-02-03 06:43:37
BuzzMonitor,gustavo.silva,A conciliacao bancaria ficou bem melhor nessa versao.,2025-02-03 07:50:54
BOT,leonardo.rocha,"A navegacao esta confusa, nao acho as configuracoes.",2025-02-03 08:13:29
BuzzMonitor,beatriz.ribeiro,A conciliacao bancaria ficou bem melhor nessa versao.,2025-02-03 09:44:55
NPS,beatriz.martins,Onde vejo o log de auditoria? Preciso de retorno urgente.,2025-02-03 10:27:56
NPS,laura.oliveira,Qual a janela de maior uso?,2025-02-03 17:18:05
CSAT,laura.lima,"Obrigado por corrigirem o bug da exportacao, agora funciona.",2025-02-04 14:31:32
CSAT,lucas.elias,Nao consigo atualizar meus dados de pagamento no sistema.,2025-02-05 08:24:43
BuzzMonitor,juliana.ribeiro,"Relatorios agora carregam rapido, excelente. Preciso de retorno urgente.",2025-02-05 11:31:45
BuzzMonitor,rafael.correa,Parece que um usuario acessou dados que nao deveria.,2025-02-05 16:54:37
CSAT,gustavo.dias,"Gostei do controle de permissoes, bem completo.",2025-02-05 21:36:53
BuzzMonitor,mariana.teixeira,Qual o prazo para emitir nota fiscal?,2025-02-06 03:19:12
CSAT,carla.correa,Os webhooks estao super estaveis agora.,2025-02-06 05:11:39
NPS,isabela.carvalho,Qual politica de retencao de logs?,2025-02-06 06:12:45
CSAT,thiago.dias,Tem alguma pagina de status para acompanhar?,2025-02-06 07:19:27
CSAT,leonardo.correa,Qual versao contem a correcao do problema?,2025-02-06 14:59:18
BuzzMonitor,ana.carvalho,A integracao com o ERP nao esta sincronizando. Ticket 19010.,2025-02-06 15:04:45
BuzzMonitor,fernanda.souza,"A tela de cadastro ficou redonda, sem bugs.",2025-02-06 22:55:47
BuzzMonitor,fernanda.nascimento,A integracao com o gateway de pagamento caiu.,2025-02-07 02:26:34
NPS,vitor.gomes,A API esta bem mais rapida nessa versao.,2025-02-07 05:09:08
BuzzMonitor,mariana.teixeira,Onde eu reporto um bug com print da tela?,2025-02-07 09:10:25
BuzzMonitor,camila.souza,O boleto nao foi gerado e estou com pagamento em atraso por causa disso.,2025-02-07 13:33:09
BOT,thiago.correa,A busca demora demais e trava o navegador.,2025-02-07 15:27:38
BuzzMonitor,mario.martins,"Evoluiram muito no ultimo trimestre, parabens.",2025-02-07 18:16:27
NPS,ana.souza,"Evoluiram muito no ultimo trimestre, parabens.",2025-02-07 19:49:30
CSAT,beatriz.martins,A integracao com o CRM funcionou sem dor de cabeca.,2025-02-07 21:44:17
BuzzMonitor,lucas.gomes,O suporte foi muito prestativo e claro.,2025-02-08 07:49:03
BOT,lucas.rocha,Os dados do CRM estao vindo incompletos na integracao.,2025-02-09 00:24:09
CSAT,lucas.mendes,O atendimento foi rude e nao ajudou.,2025-02-09 00:58:16
NPS,carla.araujo,A nova interface ficou bem mais intuitiva.,2025-02-09 05:41:17
CSAT,diego.teixeira,Preciso de um relatorio de cobranca do mes.,2025-02-09 07:09:40
BuzzMonitor,laura.elias,A API esta bem mais rapida nessa versao.,2025-02-09 07:58:43
BOT,mariana.souza,A tela nao e intuitiva e acaba atrapalhando.,2025-02-09 08:12:35
CSAT,mario.lima,A API esta retornando 401 mesmo com token valido.,2025-02-09 16:40:07
NPS,joao.correa,Quando tento exportar CSV ele vem vazio.,2025-02-09 17:42:40
BuzzMonitor,carla.dias,"Boa, o erro de sincronizacao sumiu. Preciso de retorno urgente.",2025-02-09 18:41:25
CSAT,vitor.mendes,O webhooks estao falhando e nao recebo eventos. Preciso de retorno urgente. Ticket 30892.,2025-02-10 06:40:34
NPS,laura.nascimento,Qual foi a causa da indisponibilidade de ontem?,2025-02-10 09:55:15
BuzzMonitor,vitor.souza,Sinto falta de um relatorio mais completo.,2025-02-11 06:02:46
NPS,beatriz.almeida,"A importacao esta levando horas, ficou impraticavel.",2025-02-11 07:04:43
BOT,vitor.araujo,O webhooks estao falhando e nao recebo eventos.,2025-02-11 07:58:05
NPS,thiago.elias,Ficou travando e desconectando toda hora. Preciso de retorno urgente.,2025-02-11 12:17:44
BuzzMonitor,vitor.mendes,Depois do patch não ocorre mais duplicacao na importacao.,2025-02-11 16:06:53
CSAT,lucas.araujo,"A busca ficou instantanea, parabens.",2025-02-11 16:20:12
NPS,joao.barbosa,A experiencia de uso evoluiu muito.,2025-02-11 19:28:23
NPS,rafael.martins,A experiencia poderia ser melhor em dispositivos moveis.,2025-02-12 09:28:38
BOT,beatriz.lima,O tempo de resposta da API aumentou bastante. Preciso de retorno urgente.,2025-02-12 11:30:50
NPS,mario.nascimento,O menu mudou e agora ficou pior de usar.,2025-02-12 11:33:05
NPS,laura.almeida,Como gero um token de API?,2025-02-12 19:03:02
BuzzMonitor,gustavo.rocha,"Adorei as novas funcionalidades, muito util.",2025-02-13 00:59:37
BuzzMonitor,patricia.martins,"O processo de pagamento ficou mais simples, ajudou muito. Preciso de retorno urgente. Ticket 27891.",2025-02-13 03:36:48
CSAT,patricia.dias,Quero participar do beta de novas funcoes. Preciso de retorno urgente.,2025-02-13 03:52:17
NPS,juliana.nascimento,"Relatorios agora carregam rapido, excelente.",2025-02-13 04:03:39
CSAT,lucas.nascimento,As telas estao com lentidao em horario comercial.,2025-02-13 07:28:41
CSAT,gustavo.araujo,"As dicas na tela ajudam bastante, parabens.",2025-02-13 08:51:35
CSAT,thiago.almeida,"Obrigado por corrigirem o bug da exportacao, agora funciona.",2025-02-13 22:46:23
NPS,joao.correa,Onde eu reporto um bug com print da tela?,2025-02-14 01:25:03
CSAT,camila.martins,Fui transferido varias vezes e nao resolveram.,2025-02-14 02:26:33
BuzzMonitor,rafael.teixeira,O menu mudou e agora ficou pior de usar.,2025-02-14 10:50:53
NPS,camila.araujo,O filtro nao funciona e retorna resultados errados.,2025-02-14 12:21:34
NPS,camila.lima,A integracao com o ERP nao esta sincronizando.,2025-02-14 12:33:55
BuzzMonitor,mariana.almeida,A API esta bem mais rapida nessa versao.,2025-02-14 16:40:20
BuzzMonitor,mariana.carvalho,Os dados do CRM estao vindo incompletos na integracao. Preciso de retorno urgente.,2025-02-15 00:28:03
BuzzMonitor,isabela.gomes,"O sistema esta fora do ar desde cedo, precisamos de retorno.",2025-02-15 05:28:29
NPS,diego.barbosa,Quando tento exportar CSV ele vem vazio.,2025-02-15 09:02:48
CSAT,bruno.araujo,Existe cache para relatorios?,2025-02-15 13:16:57
BOT,isabela.dias,Estou recebendo erro 500 ao tentar salvar.,2025-02-15 14:51:49
CSAT,rafael.lima,Muitos cliques para fazer uma tarefa simples.,2025-02-15 20:22:06
CSAT,beatriz.carvalho,"Nao carrega a tela inicial, fica em loading infinito.",2025-02-15 23:56:42
NPS,vitor.carvalho,Parece que um usuario acessou dados que nao deveria.,2025-02-16 08:53:42
CSAT,lucas.almeida,Nao consigo atualizar meus dados de pagamento no sistema.,2025-02-16 11:12:54
CSAT,vitor.souza,O tempo de resposta da API aumentou bastante.,2025-02-16 14:29:04
BuzzMonitor,rafael.rocha,A integracao suporta ambientes de teste?,2025-02-16 16:42:58
CSAT,joao.lima,O reset de senha falha e nao chega email.,2025-02-16 17:49:15
CSAT,mario.ribeiro,"Obrigada por resolverem a instabilidade, melhorou muito.",2025-02-17 03:53:38
BuzzMonitor,beatriz.carvalho,Qual politica de retencao de logs?,2025-02-17 03:54:39
CSAT,gustavo.teixeira,Tem SSO com Azure AD? Preciso de retorno urgente.,2025-02-17 04:01:35
CSAT,carla.dias,Ficou travando e desconectando toda hora. Preciso de retorno urgente.,2025-02-17 04:15:14
BuzzMonitor,mario.carvalho,O botao de salvar nao responde na tela de cadastro.,2025-02-17 07:41:59
CSAT,patricia.ribeiro,Estou recebendo erro 500 ao tentar salvar.,2025-02-17 11:57:08
CSAT,fernanda.souza,"Gostei do layout, ficou facil achar as funcoes.",2025-02-17 16:13:34
NPS,mariana.nascimento,Ficou travando e desconectando toda hora.,2025-02-17 17:39:56
CSAT,diego.souza,As mensagens de erro nao explicam o que fazer.,2025-02-17 17:54:20
BuzzMonitor,camila.araujo,A plataforma caiu agora e nao consigo acessar.,2025-02-18 02:01:15
CSAT,camila.gomes,Qual o prazo para emitir nota fiscal?,2025-02-18 07:52:12
NPS,bruno.ferreira,Como gero um token de API? Preciso de retorno urgente.,2025-02-18 09:33:14
CSAT,ana.barbosa,O tempo de resposta da API aumentou bastante.,2025-02-18 09:48:57
NPS,mario.oliveira,"A navegacao esta confusa, nao acho as configuracoes.",2025-02-18 10:42:39
NPS,juliana.souza,Os tutoriais não cobrem o que eu preciso.,2025-02-18 11:27:58
CSAT,gustavo.souza,O cancelamento foi cobrado mesmo depois de eu solicitar.,2025-02-18 21:41:44
BuzzMonitor,bruno.souza,Os webhooks estao super estaveis agora.,2025-02-19 02:14:33
CSAT,leonardo.almeida,"Boa, o erro de sincronizacao sumiu.",2025-02-19 06:41:00
BuzzMonitor,lucas.correa,Os tutoriais nao cobrem o que eu preciso.,2025-02-19 11:44:31
BuzzMonitor,camila.oliveira,"Nao carrega a tela inicial, fica em loading infinito. Preciso de retorno urgente.",2025-02-19 12:54:18
BuzzMonitor,laura.rocha,Parece que um usuario acessou dados que nao deveria.,2025-02-19 18:17:27
CSAT,bruno.carvalho,O boleto nao foi gerado e estou com pagamento em atraso por causa disso.,2025-02-19 21:37:59
CSAT,rafael.barbosa,Fui transferido varias vezes e nao resolveram.,2025-02-19 22:02:21
CSAT,bruno.martins,Tem atendimento aos finais de semana? Preciso de retorno urgente.,2025-02-20 04:05:52
CSAT,patricia.carvalho,A integracao suporta ambientes de teste?,2025-02-20 07:11:05
CSAT,mariana.elias,Como faço para salvar filtros como favoritos?,2025-02-20 09:33:19
BuzzMonitor,carla.araujo,O reset de senha falha e nao chega email. Preciso de retorno urgente.,2025-02-20 21:27:56
BuzzMonitor,bruno.almeida,A experiencia poderia ser melhor em dispositivos moveis.,2025-02-21 00:50:48
NPS,ana.ferreira,"Nao tive mais desconexoes, otimo trabalho.",2025-02-21 09:14:08
