origem,usuario,mensagem,data,sentimentalidade,categoria
CSAT,leonardo.correa,Existe um canal para enviar ideias? Preciso de retorno urgente. Ticket 97501.,2025-01-04 23:44:44,NEGATIVA,SUPORTE/ATENDIMENTO
BuzzMonitor,juliana.nascimento,Tem boas praticas para melhorar performance?,2025-01-05 00:11:29,POSITIVA,FEEDBACK GERAL
BOT,gustavo.souza,A experiencia de uso evoluiu muito. Preciso de retorno urgente.,2025-01-05 03:31:30,NEGATIVA,FEEDBACK GERAL
NPS,joao.teixeira,"A equipe acompanhou a implantacao, foi tranquilo.",2025-01-05 04:30:30,NEUTRA,FEEDBACK GERAL
BOT,diego.elias,"A fatura veio com reajuste sem aviso, podem verificar?",2025-01-05 06:18:47,NEUTRA,FINANCEIRO
BuzzMonitor,laura.dias,Vocês tem exemplo de payload para webhooks?,2025-01-05 09:17:53,NEUTRA,FEEDBACK GERAL
NPS,vitor.elias,Depois do patch nao ocorre mais duplicacao na importacao. Preciso de retorno urgente.,2025-01-05 12:00:50,NEGATIVA,FEEDBACK GERAL
NPS,vitor.martins,"Estou com problema na cobranca, veio valor duplicado na fatura.",2025-01-05 16:28:11,NEGATIVA,FINANCEIRO
BOT,gustavo.carvalho,Quando tento exportar CSV ele vem vazio. Ticket 43175.,2025-01-05 17:47:04,NEUTRA,SUPORTE/ATENDIMENTO
BuzzMonitor,laura.nascimento,A experiencia poderia ser melhor em dispositivos moveis.,2025-01-05 22:02:45,NEUTRA,FEEDBACK GERAL
BuzzMonitor,fernanda.ferreira,Hoje o sistema esta super rapido e sem quedas.,2025-01-05 22:41:49,POSITIVA,API/AUTENTICACAO
BuzzMonitor,carla.ferreira,A integracao com o ERP nao esta sincronizando.,2025-01-06 02:17:20,NEUTRA,FEEDBACK GERAL
CSAT,joao.nascimento,"Atendimento excelente, resolveram em minutos.",2025-01-06 04:00:28,POSITIVA,SUPORTE/ATENDIMENTO
BOT,juliana.carvalho,Posso enviar logs para ajudar a investigar?,2025-01-06 07:08:32,NEUTRA,FEEDBACK GERAL
BuzzMonitor,vitor.rocha,A plataforma caiu agora e nao consigo acessar.,2025-01-06 07:13:02,NEGATIVA,INSTABILIDADE NA PLATAFORMA
BOT,mariana.almeida,Quero participar do beta de novas funcoes.,2025-01-06 07:27:18,NEUTRA,FEEDBACK GERAL
BuzzMonitor,carla.silva,A exportacao para contabilidade funcionou de primeira.,2025-01-06 08:00:12,POSITIVA,FEEDBACK GERAL
NPS,laura.martins,Quando tento exportar CSV ele vem vazio.,2025-01-06 11:33:37,NEUTRA,FEEDBACK GERAL
BOT,vitor.mendes,A busca demora demais e trava o navegador.,2025-01-06 19:56:34,NEGATIVA,INSTABILIDADE NA PLATAFORMA
CSAT,rafael.silva,Tem alguma pagina de status para acompanhar? Ticket 51220.,2025-01-07 01:56:38,NEUTRA,SUPORTE/ATENDIMENTO
BuzzMonitor,leonardo.dias,"Parabens, a nota fiscal saiu certinha e bem rapido.",2025-01-07 11:00:20,POSITIVA,API/AUTENTICACAO
NPS,mario.almeida,As telas estao com lentidao em horario comercial.,2025-01-08 16:22:42,NEUTRA,FEEDBACK GERAL
BuzzMonitor,diego.martins,Existe modo escuro?,2025-01-08 16:52:43,NEUTRA,FEEDBACK GERAL
CSAT,juliana.ribeiro,Nao consigo atualizar meus dados de pagamento no sistema. Ticket 41939.,2025-01-09 01:37:38,NEUTRA,SUPORTE/ATENDIMENTO
BOT,carla.nascimento,"A equipe acompanhou a implantacao, foi tranquilo. Preciso de retorno urgente.",2025-01-09 04:49:52,NEGATIVA,FEEDBACK GERAL
CSAT,diego.almeida,Depois do patch nao ocorre mais duplicacao na importacao.,2025-01-09 10:43:27,NEUTRA,FEEDBACK GERAL
BuzzMonitor,rafael.correa,A exportacao para contabilidade funcionou de primeira.,2025-01-09 23:28:14,POSITIVA,FEEDBACK GERAL
BuzzMonitor,bruno.teixeira,O suporte demorou muito para responder meu chamado. Preciso de retorno urgente.,2025-01-10 08:59:58,NEGATIVA,SUPORTE/ATENDIMENTO
NPS,vitor.barbosa,A API esta bem mais rapida nessa versao.,2025-01-10 12:10:06,NEUTRA,API/AUTENTICACAO
NPS,mario.rocha,Tem trilha de treinamento para novos usuarios?,2025-01-10 13:48:50,NEUTRA,TREINAMENTO/ONBOARDING
BOT,gustavo.barbosa,"Gostei do conector com o ERP, poupou tempo.",2025-01-10 14:23:25,NEUTRA,FEEDBACK GERAL
BuzzMonitor,juliana.silva,"Obrigado por corrigirem o bug da exportacao, agora funciona.",2025-01-11 05:34:14,NEUTRA,BUGS
BuzzMonitor,gustavo.rocha,Qual o passo a passo recomendado para comecar? Preciso de retorno urgente.,2025-01-11 12:36:33,NEGATIVA,FEEDBACK GERAL
BuzzMonitor,juliana.ribeiro,"A performance melhorou muito, ta voando.",2025-01-11 23:21:56,NEUTRA,FEEDBACK GERAL
CSAT,carla.almeida,Nao consegui importar meus dados iniciais.,2025-01-12 08:42:53,NEUTRA,FEEDBACK GERAL
BuzzMonitor,gustavo.almeida,Tem alguma pagina de status para acompanhar?,2025-01-12 13:02:35,NEUTRA,FEEDBACK GERAL
BuzzMonitor,vitor.gomes,O webhooks estao falhando e não recebo eventos. Ticket 56908.,2025-01-12 15:47:03,NEGATIVA,BUGS
BuzzMonitor,mariana.pereira,A experiencia poderia ser melhor em dispositivos moveis.,2025-01-12 19:35:43,NEUTRA,FEEDBACK GERAL
BOT,mariana.pereira,Como configuro 2FA para todos os usuarios?,2025-01-13 00:27:06,NEUTRA,FINANCEIRO
CSAT,rafael.silva,Ficou travando e desconectando toda hora.,2025-01-13 02:15:05,NEGATIVA,INSTABILIDADE NA PLATAFORMA
BuzzMonitor,rafael.martins,"Estou sem retorno ha dias, isso prejudica o trabalho.",2025-01-13 16:32:58,NEGATIVA,SUPORTE/ATENDIMENTO
NPS,joao.ferreira,"Relatorios agora carregam rapido, excelente.",2025-01-13 20:34:17,POSITIVA,API/AUTENTICACAO
CSAT,thiago.elias,A integracao com o ERP nao esta sincronizando. Preciso de retorno urgente.,2025-01-14 01:21:58,NEGATIVA,FEEDBACK GERAL
NPS,bruno.elias,"O time de CS acompanhou ate a solucao, show. Preciso de retorno urgente.",2025-01-14 05:40:53,NEUTRA,FEEDBACK GERAL
CSAT,rafael.nascimento,A nova interface ficou bem mais intuitiva.,2025-01-14 06:58:45,NEUTRA,FEEDBACK GERAL
BuzzMonitor,vitor.gomes,Qual foi a causa da indisponibilidade de ontem?,2025-01-14 20:42:11,NEUTRA,FEEDBACK GERAL
BuzzMonitor,lucas.silva,"Comecei a usar rapido, processo muito bom.",2025-01-15 00:06:50,POSITIVA,API/AUTENTICACAO
BuzzMonitor,juliana.teixeira,Seria bom ter mais opcoes de personalizacao.,2025-01-15 02:42:42,POSITIVA,FEATURE REQUEST
BuzzMonitor,mariana.lima,"A importacao esta levando horas, ficou impraticavel.",2025-01-15 12:19:42,NEUTRA,FEEDBACK GERAL
BuzzMonitor,carla.lima,A integracao com o gateway de pagamento caiu.,2025-01-15 12:45:48,NEGATIVA,INSTABILIDADE NA PLATAFORMA
NPS,diego.rocha,Qual o tempo medio de resposta esperado?,2025-01-15 13:54:26,NEUTRA,FEEDBACK GERAL
NPS,mario.souza,O tempo de resposta da API aumentou bastante.,2025-01-15 16:05:07,NEUTRA,API/AUTENTICACAO
CSAT,leonardo.dias,"A tela de cadastro ficou redonda, sem bugs. Preciso de retorno urgente.",2025-01-16 03:50:49,NEGATIVA,BUGS
BOT,juliana.barbosa,O atendente não entendeu o problema e encerrou o ticket.,2025-01-16 07:38:58,NEGATIVA,BUGS
BuzzMonitor,ana.gomes,Parece que um usuario acessou dados que nao deveria.,2025-01-16 11:56:19,NEUTRA,FEEDBACK GERAL
CSAT,isabela.rocha,Nao consegui importar meus dados iniciais.,2025-01-16 16:00:47,NEUTRA,FEEDBACK GERAL
NPS,ana.teixeira,Tenho uma sugestao de melhoria para o produto.,2025-01-17 09:06:27,NEUTRA,FEATURE REQUEST
BOT,gustavo.correa,O filtro nao funciona e retorna resultados errados.,2025-01-17 09:38:21,NEGATIVA,FEEDBACK GERAL
CSAT,patricia.souza,Os dados do CRM estao vindo incompletos na integracao.,2025-01-17 13:45:54,NEUTRA,FEEDBACK GERAL
CSAT,diego.oliveira,Existe cache para relatorios?,2025-01-17 14:30:44,NEUTRA,FEEDBACK GERAL
CSAT,isabela.elias,Depois da ultima manutencao ficou bem mais estavel.,2025-01-18 00:57:39,NEUTRA,FEEDBACK GERAL
NPS,juliana.dias,"A performance melhorou muito, ta voando.",2025-01-18 01:10:48,NEUTRA,FEEDBACK GERAL
CSAT,ana.souza,O cancelamento foi cobrado mesmo depois de eu solicitar. Preciso de retorno urgente.,2025-01-18 06:50:55,NEGATIVA,FEEDBACK GERAL
BOT,juliana.ferreira,"Boa, o erro de sincronizacao sumiu.",2025-01-18 09:09:48,NEUTRA,BUGS
BuzzMonitor,beatriz.oliveira,O menu mudou e agora ficou pior de usar.,2025-01-18 19:43:02,NEUTRA,FEEDBACK GERAL
BuzzMonitor,laura.elias,O sistema duplica registros ao importar.,2025-01-18 20:29:35,NEUTRA,FEEDBACK GERAL
BOT,joao.dias,Depois da ultima manutencao ficou bem mais estavel.,2025-01-18 20:40:00,NEUTRA,FEEDBACK GERAL
CSAT,thiago.almeida,A conciliacao bancaria ficou bem melhor nessa versao.,2025-01-19 02:00:35,NEUTRA,FEEDBACK GERAL
BOT,carla.teixeira,Nao consigo atualizar meus dados de pagamento no sistema.,2025-01-19 03:03:18,NEUTRA,FINANCEIRO
NPS,isabela.nascimento,Parabens pelas melhorias de seguranca. Preciso de retorno urgente.,2025-01-19 13:03:25,NEGATIVA,FEATURE REQUEST
CSAT,isabela.silva,"Muito bom ter 2FA, aumentou a seguranca.",2025-01-19 20:11:12,POSITIVA,FEEDBACK GERAL
CSAT,juliana.dias,O botao de salvar nao responde na tela de cadastro.,2025-01-20 00:41:37,NEUTRA,FEEDBACK GERAL
CSAT,leonardo.teixeira,"A API esta bem documentada, consegui integrar rapido.",2025-01-20 03:28:00,POSITIVA,API/AUTENTICACAO
CSAT,diego.correa,O onboarding foi excelente e bem guiado.,2025-01-20 07:49:12,POSITIVA,TREINAMENTO/ONBOARDING
BOT,mario.mendes,O onboarding foi confuso e faltou treinamento. Ticket 92924.,2025-01-20 09:38:32,POSITIVA,SUPORTE/ATENDIMENTO
CSAT,leonardo.ribeiro,"Obrigado por corrigirem o bug da exportacao, agora funciona.",2025-01-20 18:29:00,NEUTRA,BUGS
BuzzMonitor,gustavo.pereira,A experiencia de uso evoluiu muito.,2025-01-20 18:34:29,NEUTRA,FEEDBACK GERAL
NPS,vitor.barbosa,Vocês recomendam qual navegador?,2025-01-20 22:34:54,NEUTRA,FEEDBACK GERAL
CSAT,carla.elias,A documentacao esta desatualizada.,2025-01-20 22:51:56,NEUTRA,TREINAMENTO/ONBOARDING
NPS,rafael.souza,A tela nao e intuitiva e acaba atrapalhando. Preciso de retorno urgente.,2025-01-21 02:41:32,NEGATIVA,FEEDBACK GERAL
NPS,laura.rocha,A correcao do filtro resolveu meu problema.,2025-01-21 06:26:18,NEGATIVA,FEEDBACK GERAL
NPS,leonardo.dias,Depois da ultima manutencao ficou bem mais estavel.,2025-01-21 15:16:47,NEUTRA,FEEDBACK GERAL
CSAT,bruno.dias,"Produto excelente, atende bem nossas necessidades.",2025-01-21 17:43:38,POSITIVA,FEEDBACK GERAL
BuzzMonitor,thiago.araujo,Onde encontro a opcao para personalizar colunas?,2025-01-21 18:59:30,NEUTRA,FEEDBACK GERAL
BOT,rafael.mendes,A plataforma caiu agora e não consigo acessar.,2025-01-21 19:40:22,NEGATIVA,INSTABILIDADE NA PLATAFORMA
CSAT,gustavo.silva,"Obrigado por corrigirem o bug da exportacao, agora funciona.",2025-01-21 21:27:04,NEUTRA,BUGS
NPS,isabela.pereira,Estou recebendo erro 500 ao tentar salvar.,2025-01-22 00:27:56,NEGATIVA,INSTABILIDADE NA PLATAFORMA
BuzzMonitor,camila.almeida,O cancelamento foi cobrado mesmo depois de eu solicitar.,2025-01-22 00:30:32,NEUTRA,FEEDBACK GERAL
BOT,beatriz.dias,A documentacao e bem completa.,2025-01-22 11:30:09,NEUTRA,TREINAMENTO/ONBOARDING
BuzzMonitor,joao.araujo,A integracao com o CRM funcionou sem dor de cabeca.,2025-01-22 18:24:05,POSITIVA,FEEDBACK GERAL
CSAT,juliana.carvalho,Depois da ultima manutencao ficou bem mais estavel. Preciso de retorno urgente.,2025-01-22 19:01:44,NEGATIVA,FEEDBACK GERAL
BuzzMonitor,mario.ferreira,O botao de salvar não responde na tela de cadastro.,2025-01-23 01:52:51,NEUTRA,FEEDBACK GERAL
NPS,rafael.correa,A experiencia poderia ser melhor em dispositivos moveis.,2025-01-23 02:15:13,NEUTRA,FEEDBACK GERAL
CSAT,diego.barbosa,"Nao carrega a tela inicial, fica em loading infinito. Ticket 83023.",2025-01-23 23:16:57,NEUTRA,SUPORTE/ATENDIMENTO
CSAT,rafael.elias,A experiencia poderia ser melhor em dispositivos moveis.,2025-01-24 01:34:23,NEUTRA,FEEDBACK GERAL
BuzzMonitor,isabela.almeida,Qual o passo a passo recomendado para comecar?,2025-01-24 05:14:54,NEUTRA,FEEDBACK GERAL
CSAT,ana.lima,Preciso de auditoria e não encontro logs completos.,2025-01-24 14:49:01,NEUTRA,FEEDBACK GERAL
CSAT,carla.souza,As mensagens de erro nao explicam o que fazer.,2025-01-24 16:24:34,NEGATIVA,BUGS
BuzzMonitor,mariana.nascimento,"Boa, o erro de sincronizacao sumiu.",2025-01-24 19:02:37,NEUTRA,BUGS
CSAT,leonardo.souza,"Obrigada por resolverem a instabilidade, melhorou muito.",2025-01-24 20:55:34,POSITIVA,FEEDBACK GERAL
BOT,ana.barbosa,Nao consegui importar meus dados iniciais.,2025-01-25 00:42:16,NEUTRA,FEEDBACK GERAL
BuzzMonitor,joao.silva,"Faltam campos no cadastro, isso atrapalha. Ticket 26716.",2025-01-25 01:54:09,NEUTRA,SUPORTE/ATENDIMENTO
BuzzMonitor,ana.gomes,Como abro um chamado para suporte tecnico?,2025-01-25 02:11:16,NEUTRA,SUPORTE/ATENDIMENTO
BuzzMonitor,patricia.barbosa,Qual o status do incidente da manha?,2025-01-25 03:41:13,NEUTRA,FEEDBACK GERAL
CSAT,gustavo.martins,A API esta retornando 401 mesmo com token valido.,2025-01-25 05:29:33,NEGATIVA,API/AUTENTICACAO
BuzzMonitor,gustavo.silva,O atendente nao entendeu o problema e encerrou o ticket. Preciso de retorno urgente.,2025-01-25 09:19:26,NEGATIVA,BUGS
NPS,mariana.teixeira,"A performance melhorou muito, ta voando.",2025-01-25 12:18:00,NEUTRA,FEEDBACK GERAL
BOT,vitor.dias,"A navegacao esta confusa, nao acho as configuracoes. Ticket 91048.",2025-01-25 13:25:01,NEUTRA,SUPORTE/ATENDIMENTO
NPS,mario.lima,O suporte demorou muito para responder meu chamado. Preciso de retorno urgente.,2025-01-25 16:24:13,NEGATIVA,SUPORTE/ATENDIMENTO
CSAT,fernanda.araujo,Tem boas praticas para melhorar performance?,2025-01-26 03:32:16,POSITIVA,FEEDBACK GERAL
BOT,beatriz.martins,O sistema duplica registros ao importar.,2025-01-26 08:35:37,NEUTRA,FEEDBACK GERAL
NPS,ana.ribeiro,Preciso de um relatorio de cobranca do mes.,2025-01-26 10:30:23,NEUTRA,FINANCEIRO
BOT,joao.ferreira,"Gostei do layout, ficou facil achar as funcoes.",2025-01-26 15:22:47,NEUTRA,FEEDBACK GERAL
NPS,joao.rocha,"O processo de pagamento ficou mais simples, ajudou muito.",2025-01-26 16:14:37,NEUTRA,FINANCEIRO
CSAT,bruno.carvalho,O suporte demorou muito para responder meu chamado.,2025-01-27 01:48:33,NEUTRA,SUPORTE/ATENDIMENTO
NPS,carla.silva,"A sincronizacao ficou consistente, obrigado. Ticket 37011.",2025-01-27 03:11:48,POSITIVA,SUPORTE/ATENDIMENTO
BuzzMonitor,diego.rocha,"Gostei do conector com o ERP, poupou tempo.",2025-01-27 03:24:30,NEUTRA,FEEDBACK GERAL
CSAT,fernanda.correa,Acho que a comunicacao de mudancas poderia melhorar.,2025-01-27 03:51:59,NEUTRA,FEEDBACK GERAL
BOT,diego.barbosa,Depois do patch nao ocorre mais duplicacao na importacao.,2025-01-27 11:45:51,NEUTRA,FEEDBACK GERAL
BOT,mario.martins,Estou recebendo erro 500 ao tentar salvar.,2025-01-27 12:00:59,NEGATIVA,INSTABILIDADE NA PLATAFORMA
BuzzMonitor,carla.souza,"Gostei do controle de permissoes, bem completo.",2025-01-27 17:10:53,NEUTRA,FEEDBACK GERAL
BOT,vitor.pereira,"A navegacao esta confusa, nao acho as configuracoes.",2025-01-27 22:50:26,NEUTRA,FINANCEIRO
BuzzMonitor,gustavo.ribeiro,Parabens pelas melhorias de seguranca.,2025-01-28 00:48:15,NEUTRA,FEATURE REQUEST
BOT,juliana.nascimento,"A sincronizacao ficou consistente, obrigado. Ticket 74440.",2025-01-28 04:18:24,POSITIVA,SUPORTE/ATENDIMENTO
CSAT,joao.souza,Tenho uma sugestao de melhoria para o produto.,2025-01-28 08:00:54,NEUTRA,FEATURE REQUEST
BuzzMonitor,juliana.pereira,"Boa, o erro de sincronizacao sumiu.",2025-01-28 09:24:09,NEUTRA,BUGS
CSAT,leonardo.araujo,"Muito bom ter 2FA, aumentou a seguranca.",2025-01-28 17:01:04,POSITIVA,FEEDBACK GERAL
CSAT,gustavo.pereira,O onboarding foi confuso e faltou treinamento.,2025-01-29 02:41:10,POSITIVA,FINANCEIRO
CSAT,camila.gomes,O onboarding foi confuso e faltou treinamento.,2025-01-29 07:39:32,POSITIVA,FINANCEIRO
CSAT,mariana.almeida,"Obrigado por corrigirem o bug da exportacao, agora funciona.",2025-01-29 08:32:47,NEUTRA,BUGS
NPS,gustavo.carvalho,"Faltam campos no cadastro, isso atrapalha.",2025-01-29 08:41:04,NEUTRA,FEEDBACK GERAL
CSAT,ana.pereira,Tem trilha de treinamento para novos usuarios? Ticket 81510.,2025-01-29 17:01:18,NEUTRA,SUPORTE/ATENDIMENTO
BOT,ana.elias,A integracao gera erro ao sincronizar e para no meio.,2025-01-30 01:47:40,NEGATIVA,BUGS
BOT,isabela.elias,A experiencia poderia ser melhor em dispositivos moveis. Ticket 49883.,2025-01-30 03:26:37,NEUTRA,SUPORTE/ATENDIMENTO
CSAT,juliana.carvalho,A integracao gera erro ao sincronizar e para no meio.,2025-01-30 15:53:36,NEGATIVA,BUGS
CSAT,joao.gomes,Existe cache para relatorios?,2025-01-30 17:20:42,NEUTRA,FEEDBACK GERAL
BuzzMonitor,mariana.rocha,Estou recebendo erro 500 ao tentar salvar.,2025-01-30 20:57:32,NEGATIVA,INSTABILIDADE NA PLATAFORMA
CSAT,joao.gomes,"A performance melhorou muito, ta voando. Preciso de retorno urgente.",2025-01-30 21:12:03,NEGATIVA,FEEDBACK GERAL
BuzzMonitor,mario.nascimento,Hoje o sistema esta super rapido e sem quedas.,2025-01-31 03:08:50,POSITIVA,API/AUTENTICACAO
CSAT,patricia.silva,"A equipe acompanhou a implantacao, foi tranquilo.",2025-01-31 06:24:37,NEUTRA,FEEDBACK GERAL
BOT,vitor.carvalho,Nao consigo atualizar meus dados de pagamento no sistema. Ticket 72496.,2025-01-31 06:26:29,NEUTRA,SUPORTE/ATENDIMENTO
NPS,isabela.rocha,Ficou travando e desconectando toda hora.,2025-01-31 08:21:11,NEGATIVA,INSTABILIDADE NA PLATAFORMA
CSAT,mariana.gomes,A autenticacao em dois fatores nao funciona. Ticket 84883.,2025-01-31 12:41:04,NEGATIVA,API/AUTENTICACAO
BuzzMonitor,leonardo.souza,O atendimento foi rude e nao ajudou.,2025-01-31 20:30:08,NEUTRA,SUPORTE/ATENDIMENTO
CSAT,juliana.carvalho,"O sistema esta fora do ar desde cedo, precisamos de retorno.",2025-01-31 20:45:34,NEGATIVA,INSTABILIDADE NA PLATAFORMA
BuzzMonitor,patricia.correa,"Parabens, a nota fiscal saiu certinha e bem rapido. Preciso de retorno urgente.",2025-01-31 23:42:54,NEUTRA,API/AUTENTICACAO
NPS,carla.barbosa,"Estou sem retorno ha dias, isso prejudica o trabalho.",2025-02-01 05:46:20,NEGATIVA,SUPORTE/ATENDIMENTO
BuzzMonitor,diego.dias,A documentacao e bem completa. Preciso de retorno urgente.,2025-02-01 09:13:02,NEGATIVA,TREINAMENTO/ONBOARDING
CSAT,bruno.lima,Os tutoriais nao cobrem o que eu preciso. Ticket 13718.,2025-02-01 13:03:06,NEUTRA,SUPORTE/ATENDIMENTO
BOT,juliana.ferreira,O tempo de resposta da API aumentou bastante.,2025-02-01 15:01:21,NEUTRA,API/AUTENTICACAO
NPS,joao.lima,"Estou sem retorno ha dias, isso prejudica o trabalho.",2025-02-01 16:16:21,NEGATIVA,SUPORTE/ATENDIMENTO
BuzzMonitor,patricia.elias,A integracao com o ERP nao esta sincronizando.,2025-02-01 16:37:04,NEUTRA,FEEDBACK GERAL
BOT,diego.ferreira,Os webhooks estao super estaveis agora.,2025-02-01 19:25:17,NEUTRA,FEEDBACK GERAL
CSAT,laura.mendes,"Parabens, a nota fiscal saiu certinha e bem rapido. Preciso de retorno urgente.",2025-02-01 19:41:59,NEUTRA,API/AUTENTICACAO
BuzzMonitor,fernanda.ferreira,"A tela de cadastro ficou redonda, sem bugs.",2025-02-01 21:10:46,NEGATIVA,BUGS
CSAT,rafael.martins,Os logs de auditoria ajudaram bastante.,2025-02-02 06:29:10,NEUTRA,FEEDBACK GERAL
NPS,leonardo.teixeira,"A importacao esta levando horas, ficou impraticavel. Preciso de retorno urgente.",2025-02-02 08:06:53,NEGATIVA,FEEDBACK GERAL
CSAT,patricia.mendes,Tem trilha de treinamento para novos usuarios?,2025-02-02 11:31:49,NEUTRA,TREINAMENTO/ONBOARDING
CSAT,juliana.oliveira,Preciso de auditoria e nao encontro logs completos.,2025-02-03 06:43:37,NEUTRA,FEEDBACK GERAL
BuzzMonitor,gustavo.silva,A conciliacao bancaria ficou bem melhor nessa versao.,2025-02-03 07:50:54,NEUTRA,FEEDBACK GERAL
BOT,leonardo.rocha,"A navegacao esta confusa, nao acho as configuracoes.",2025-02-03 08:13:29,NEUTRA,FINANCEIRO
BuzzMonitor,beatriz.ribeiro,A conciliacao bancaria ficou bem melhor nessa versao.,2025-02-03 09:44:55,NEUTRA,FEEDBACK GERAL
NPS,beatriz.martins,Onde vejo o log de auditoria? Preciso de retorno urgente.,2025-02-03 10:27:56,NEGATIVA,FEEDBACK GERAL
NPS,laura.oliveira,Qual a janela de maior uso?,2025-02-03 17:18:05,NEUTRA,FEEDBACK GERAL
CSAT,laura.lima,"Obrigado por corrigirem o bug da exportacao, agora funciona.",2025-02-04 14:31:32,NEUTRA,BUGS
CSAT,lucas.elias,Nao consigo atualizar meus dados de pagamento no sistema.,2025-02-05 08:24:43,NEUTRA,FINANCEIRO
BuzzMonitor,juliana.ribeiro,"Relatorios agora carregam rapido, excelente. Preciso de retorno urgente.",2025-02-05 11:31:45,POSITIVA,API/AUTENTICACAO
BuzzMonitor,rafael.correa,Parece que um usuario acessou dados que nao deveria.,2025-02-05 16:54:37,NEUTRA,FEEDBACK GERAL
CSAT,gustavo.dias,"Gostei do controle de permissoes, bem completo.",2025-02-05 21:36:53,NEUTRA,FEEDBACK GERAL
BuzzMonitor,mariana.teixeira,Qual o prazo para emitir nota fiscal?,2025-02-06 03:19:12,NEUTRA,FINANCEIRO
CSAT,carla.correa,Os webhooks estao super estaveis agora.,2025-02-06 05:11:39,NEUTRA,FEEDBACK GERAL
NPS,isabela.carvalho,Qual politica de retencao de logs?,2025-02-06 06:12:45,NEUTRA,FEEDBACK GERAL
CSAT,thiago.dias,Tem alguma pagina de status para acompanhar?,2025-02-06 07:19:27,NEUTRA,FEEDBACK GERAL
CSAT,leonardo.correa,Qual versao contem a correcao do problema?,2025-02-06 14:59:18,NEGATIVA,FEEDBACK GERAL
BuzzMonitor,ana.carvalho,A integracao com o ERP nao esta sincronizando. Ticket 19010.,2025-02-06 15:04:45,NEUTRA,SUPORTE/ATENDIMENTO
BuzzMonitor,fernanda.souza,"A tela de cadastro ficou redonda, sem bugs.",2025-02-06 22:55:47,NEGATIVA,BUGS
BuzzMonitor,fernanda.nascimento,A integracao com o gateway de pagamento caiu.,2025-02-07 02:26:34,NEGATIVA,INSTABILIDADE NA PLATAFORMA
NPS,vitor.gomes,A API esta bem mais rapida nessa versao.,2025-02-07 05:09:08,NEUTRA,API/AUTENTICACAO
BuzzMonitor,mariana.teixeira,Onde eu reporto um bug com print da tela?,2025-02-07 09:10:25,NEGATIVA,BUGS
